"index","Date","Open","High","Low","Close","Volume"
"0","2019-01-04 00:00:00","19655.130859375","19692.580078125","19241.369140625","19561.9609375","91600000"
"1","2019-01-07 00:00:00","19944.609375","20266.220703125","19920.80078125","20038.970703125","81500000"
"2","2019-01-08 00:00:00","20224.669921875","20347.919921875","20106.359375","20204.0390625","86400000"
"3","2019-01-09 00:00:00","20366.30078125","20494.349609375","20331.19921875","20427.060546875","72800000"
"4","2019-01-10 00:00:00","20270.880859375","20345.919921875","20101.9296875","20163.80078125","73700000"
"5","2019-01-11 00:00:00","20296.44921875","20389.890625","20294.740234375","20359.69921875","77700000"
"6","2019-01-15 00:00:00","20264.8203125","20571.279296875","20204.4296875","20555.2890625","78300000"
"7","2019-01-16 00:00:00","20575.720703125","20580.25","20323.3203125","20442.75","69500000"
"8","2019-01-17 00:00:00","20544.23046875","20571.75","20342.4609375","20402.26953125","63600000"
"9","2019-01-18 00:00:00","20472.810546875","20682.119140625","20454.130859375","20666.0703125","64700000"
"10","2019-01-21 00:00:00","20848.380859375","20892.6796875","20678.259765625","20719.330078125","61200000"
"11","2019-01-22 00:00:00","20770.060546875","20805.9296875","20558.30078125","20622.91015625","57100000"
"12","2019-01-23 00:00:00","20453.439453125","20686.2890625","20438.220703125","20593.720703125","0"
"13","2019-01-24 00:00:00","20506.240234375","20620.720703125","20467.58984375","20574.630859375","61400000"
"14","2019-01-25 00:00:00","20598.640625","20844.310546875","20598.640625","20773.560546875","68400000"
"15","2019-01-28 00:00:00","20746.2890625","20759.48046875","20624.55078125","20649","56800000"
"16","2019-01-29 00:00:00","20555.439453125","20673.66015625","20406.220703125","20664.640625","63100000"
"17","2019-01-30 00:00:00","20701.619140625","20706.26953125","20527.529296875","20556.5390625","72100000"
"18","2019-01-31 00:00:00","20832.91015625","20869.419921875","20682.91015625","20773.490234375","75700000"
"19","2019-02-01 00:00:00","20797.029296875","20929.630859375","20741.98046875","20788.390625","82200000"
"20","2019-02-04 00:00:00","20831.900390625","20922.580078125","20823.6796875","20883.76953125","66600000"
"21","2019-02-05 00:00:00","20960.470703125","20981.23046875","20823.1796875","20844.44921875","65500000"
"22","2019-02-06 00:00:00","20928.869140625","20971.66015625","20860.990234375","20874.060546875","68900000"
"23","2019-02-07 00:00:00","20812.220703125","20844.76953125","20665.509765625","20751.279296875","70600000"
"24","2019-02-08 00:00:00","20510.5","20562.390625","20315.310546875","20333.169921875","86200000"
"25","2019-02-12 00:00:00","20442.55078125","20885.880859375","20428.5703125","20864.2109375","84100000"
"26","2019-02-13 00:00:00","21029.9296875","21213.740234375","20992.880859375","21144.48046875","78600000"
"27","2019-02-14 00:00:00","21147.890625","21235.619140625","21102.16015625","21139.7109375","64500000"
"28","2019-02-15 00:00:00","21051.509765625","21051.509765625","20853.330078125","20900.630859375","65600000"
